type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,errorBalanceOrig,errorBalanceDest,balanceChangeOrig,balanceChangeDest,is_orig_bal_zero,is_dest_bal_zero,isFraud
0,204492.42,0.0,0.0,2193286.24,2397778.66,204492.42,0.0,0.0,204492.41999999995,1,0,0.0
0,55495.18,550724.04,495228.86,498780.94,554276.12,0.0,0.0,55495.18000000005,55495.17999999999,0,0,0.0
0,44905.96,412026.0,367120.04,2187840.57,2232746.53,0.0,0.0,44905.96000000002,44905.95999999996,0,0,0.0
1,1010857.38,1010857.38,0.0,0.0,0.0,0.0,1010857.38,1010857.38,0.0,0,1,1.0
0,42112.23,0.0,0.0,1049600.55,845953.99,42112.23,245758.79000000004,0.0,-203646.56000000008,1,0,0.0
0,134383.84,134383.84,0.0,1034013.27,1168397.11,0.0,0.0,134383.84,134383.84000000008,0,0,1.0
0,225025.06,15292.0,0.0,18218209.39,18443234.45,209733.06,0.0,15292.0,225025.05999999863,0,0,0.0
0,352233.03,0.0,0.0,4911025.77,5263258.8,352233.03,0.0,0.0,352233.03000000026,1,0,0.0
0,441873.49,441873.49,0.0,0.0,441873.49,0.0,0.0,441873.49,441873.49,0,1,1.0
1,243208.05,26180.0,0.0,265525.67,508733.72,217028.05,0.0,26180.0,243208.05,0,0,0.0
1,241337.83,241337.83,0.0,0.0,0.0,0.0,241337.83,241337.83,0.0,0,1,1.0
0,30599.32,0.0,0.0,2183832.89,2214432.21,30599.32,0.0,0.0,30599.319999999832,1,0,0.0
0,32800.87,0.0,0.0,1409517.57,1684670.95,32800.87,-242352.50999999975,0.0,275153.3799999999,1,0,0.0
1,185638.6,0.0,0.0,1337316.84,1522955.44,185638.6,2.3283064365386963e-10,0.0,185638.59999999983,1,0,0.0
0,178107.23,0.0,0.0,2271639.41,2449746.64,178107.23,0.0,0.0,178107.22999999998,1,0,0.0
0,326418.79,39841.0,0.0,2648366.31,2974785.1,286577.79,0.0,39841.0,326418.79000000004,0,0,0.0
0,1221900.21,1221900.21,0.0,0.0,1221900.21,0.0,0.0,1221900.21,1221900.21,0,1,1.0
1,7196174.56,7196174.56,0.0,0.0,0.0,0.0,7196174.56,7196174.56,0.0,0,1,1.0
1,594646.52,214342.0,0.0,0.0,594646.52,380304.52,0.0,214342.0,594646.52,0,1,0.0
0,969259.07,969259.07,0.0,85723.45,1054982.52,0.0,0.0,969259.07,969259.07,0,0,1.0
1,10000000.0,24953893.08,14953893.08,0.0,0.0,0.0,10000000.0,9999999.999999998,0.0,0,1,1.0
1,60726.57,60726.57,0.0,0.0,0.0,0.0,60726.57,60726.57,0.0,0,1,1.0
1,1582747.54,107634.0,0.0,298709.19,1881456.73,1475113.54,0.0,107634.0,1582747.54,0,0,0.0
0,76200.04,76200.04,0.0,0.0,76200.04,0.0,0.0,76200.04,76200.04,0,1,1.0
0,52067.26,0.0,0.0,1277657.47,1723646.62,52067.26,-393921.8900000001,0.0,445989.15000000014,1,0,0.0
0,216320.04,10525.0,0.0,140694.0,558047.09,205795.04,-201033.04999999996,10525.0,417353.09,0,0,0.0
0,136926.37,0.0,0.0,337784.15,474710.52,136926.37,0.0,0.0,136926.37,1,0,0.0
0,24581.53,0.0,0.0,1219877.94,1244459.47,24581.53,0.0,0.0,24581.530000000028,1,0,0.0
0,760625.76,760625.76,0.0,128272.02,888897.78,0.0,0.0,760625.76,760625.76,0,0,1.0
0,164213.17,164213.17,0.0,1681702.11,1845915.27,0.0,0.0100000000093132,164213.17,164213.15999999992,0,0,1.0
0,2684260.67,2684260.67,0.0,1670682.51,4354943.18,0.0,0.0,2684260.67,2684260.67,0,0,1.0
0,254351.4,104474.0,0.0,256411.53,510762.93,149877.4,0.0,104474.0,254351.4,0,0,0.0
0,403085.92,100819.0,0.0,1558072.23,1961158.16,302266.92,-0.0100000000093132,100819.0,403085.92999999993,0,0,0.0
0,6172.36,0.0,0.0,1186436.96,1192609.32,6172.36,0.0,0.0,6172.360000000102,1,0,0.0
1,1651948.79,1651948.79,0.0,0.0,0.0,0.0,1651948.79,1651948.79,0.0,0,1,1.0
1,1330802.24,1330802.24,0.0,0.0,0.0,0.0,1330802.24,1330802.24,0.0,0,1,1.0
0,76353.82,0.0,0.0,181883.25,258237.07,76353.82,0.0,0.0,76353.82,1,0,0.0
0,2322909.69,2322909.69,0.0,875613.05,3198522.74,0.0,0.0,2322909.69,2322909.6900000004,0,0,1.0
0,92947.89,0.0,0.0,289744.62,382692.51,92947.89,0.0,0.0,92947.89,1,0,0.0
1,151.0,151.0,0.0,0.0,0.0,0.0,151.0,151.0,0.0,0,1,1.0
0,234123.0,0.0,0.0,2218702.49,2452825.49,234123.0,0.0,0.0,234123.0,1,0,0.0
0,580612.67,44170.6,0.0,657291.13,1237903.8,536442.0700000001,0.0,44170.6,580612.67,0,0,0.0
1,945131.85,945131.85,0.0,0.0,0.0,0.0,945131.85,945131.85,0.0,0,1,1.0
0,175511.89,0.0,0.0,3951588.87,4230990.85,175511.89,-103890.0899999994,0.0,279401.9799999995,1,0,0.0
1,21574.55,21574.55,0.0,0.0,0.0,0.0,21574.55,21574.55,0.0,0,1,1.0
0,1749325.14,1749325.14,0.0,1327198.86,3076524.0,0.0,0.0,1749325.14,1749325.14,0,0,1.0
0,53089.96,0.0,0.0,84966411.66,85019501.61,53089.96,0.0099999904632568,0.0,53089.95000000298,1,0,0.0
1,155854.37,155854.37,0.0,0.0,0.0,0.0,155854.37,155854.37,0.0,0,1,1.0
0,236884.33,28547.44,0.0,2453887.23,2690771.55,208336.89,0.0100000002421438,28547.44,236884.31999999983,0,0,0.0
0,70254.13,5265.0,0.0,401362.59,471616.72,64989.130000000005,5.820766091346741e-11,5265.0,70254.12999999995,0,0,0.0
0,236947.25,236947.25,0.0,70084.28,307031.53,0.0,0.0,236947.25,236947.25000000003,0,0,1.0
0,142807.57,0.0,0.0,927069.43,1069877.0,142807.57,0.0,0.0,142807.56999999995,1,0,0.0
0,538428.86,538428.86,0.0,0.0,538428.86,0.0,0.0,538428.86,538428.86,0,1,1.0
0,8783.42,8783.42,0.0,0.0,8783.42,0.0,0.0,8783.42,8783.42,0,1,1.0
0,101903.69,101903.69,0.0,280117.63,382021.32,0.0,0.0,101903.69,101903.69,0,0,1.0
0,2874626.02,2874626.02,0.0,60869.24,2935495.26,0.0,4.656612873077393e-10,2874626.02,2874626.02,0,0,1.0
0,147405.09,253923.47,106518.39,218316.62,365721.7,0.0099999999802093,0.0099999999511055,147405.08000000002,147405.08000000002,0,0,0.0
1,1462355.44,1462355.44,0.0,0.0,0.0,0.0,1462355.44,1462355.44,0.0,0,1,1.0
0,2120266.89,2120266.89,0.0,4076539.19,6196806.08,0.0,0.0,2120266.89,2120266.89,0,0,1.0
1,594522.83,0.0,0.0,10297314.71,10891837.54,594522.83,1.862645149230957e-09,0.0,594522.8299999982,1,0,0.0
0,201882.37,0.0,0.0,8615572.6,8817454.96,201882.37,0.0099999979138374,0.0,201882.36000000127,1,0,0.0
0,105575.72,32736.0,0.0,185259.15,290834.87,72839.72,0.0,32736.0,105575.72,0,0,0.0
0,296399.02,1095.0,0.0,0.0,296399.02,295304.02,0.0,1095.0,296399.02,0,1,0.0
1,2374490.77,2374490.77,0.0,0.0,0.0,0.0,2374490.77,2374490.77,0.0,0,1,1.0
1,5979556.06,5979556.06,0.0,0.0,0.0,0.0,5979556.06,5979556.06,0.0,0,1,1.0
0,10000000.0,10000000.0,0.0,158643.25,10158643.25,0.0,0.0,10000000.0,10000000.0,0,0,1.0
0,5777706.65,5777706.65,0.0,0.0,5777706.65,0.0,0.0,5777706.65,5777706.65,0,1,1.0
0,172510.95,172510.95,0.0,590592.52,763103.47,0.0,0.0,172510.95,172510.94999999995,0,0,1.0
0,386217.23,10808.0,0.0,0.0,386217.23,375409.23,0.0,10808.0,386217.23,0,1,0.0
1,335859.86,335859.86,0.0,0.0,0.0,0.0,335859.86,335859.86,0.0,0,1,1.0
0,348650.12,43695.16,0.0,0.0,348650.12,304954.96,0.0,43695.16,348650.12,0,1,0.0
0,304085.48,304085.48,0.0,152325.14,456410.63,0.0,-0.0100000000093132,304085.48,304085.49,0,0,1.0
1,5591647.96,5591647.96,0.0,0.0,0.0,0.0,5591647.96,5591647.96,0.0,0,1,1.0
0,21922.0,21922.0,0.0,1929861.61,2046918.8,0.0,-95135.18999999994,21922.0,117057.18999999994,0,0,1.0
0,143708.5,200976.0,57267.5,87.22,143795.71,0.0,0.0100000000093132,143708.5,143708.49,0,0,0.0
0,115993.84,0.0,0.0,222191.79,338185.63,115993.84,0.0,0.0,115993.84,1,0,0.0
0,30701.0,0.0,0.0,4012921.2,4043622.2,30701.0,0.0,0.0,30701.0,1,0,0.0
0,83571.59,195.0,0.0,12269.56,95841.14,83376.59,0.0099999999947613,195.0,83571.58,0,0,0.0
1,7133.97,7133.97,0.0,0.0,0.0,0.0,7133.97,7133.97,0.0,0,1,1.0
1,296333.54,296333.54,0.0,0.0,0.0,0.0,296333.54,296333.54,0.0,0,1,1.0
0,436035.29,436035.29,0.0,0.0,436035.29,0.0,0.0,436035.29,436035.29,0,1,1.0
0,98050.29,98050.29,0.0,0.0,98050.29,0.0,0.0,98050.29,98050.29,0,1,1.0
0,343999.8,343999.8,0.0,33423.37,377423.17,0.0,0.0,343999.8,343999.8,0,0,1.0
0,1536245.52,1536245.52,0.0,682568.09,2218813.6,0.0,0.0099999997764825,1536245.52,1536245.5100000002,0,0,1.0
0,3738574.9,3738574.9,0.0,124080.87,3862655.77,0.0,0.0,3738574.9,3738574.9,0,0,1.0
0,470956.59,470956.59,0.0,0.0,470956.59,0.0,0.0,470956.59,470956.59,0,1,1.0
0,69532.73,0.0,0.0,628439.1,697971.84,69532.73,-0.0100000000093132,0.0,69532.73999999999,1,0,0.0
0,50820.71,50820.71,0.0,0.0,50820.71,0.0,0.0,50820.71,50820.71,0,1,1.0
1,1534985.07,1534985.07,0.0,0.0,0.0,0.0,1534985.07,1534985.07,0.0,0,1,1.0
0,60858.15,0.0,0.0,231431.12,292289.27,60858.15,0.0,0.0,60858.15000000002,1,0,0.0
0,13150.9,0.0,0.0,103011.99,116162.89,13150.9,0.0,0.0,13150.899999999994,1,0,0.0
0,7887.75,7887.75,0.0,0.0,7887.75,0.0,0.0,7887.75,7887.75,0,1,1.0
0,56963.01,11098.0,0.0,1327518.53,1384481.54,45865.01,0.0,11098.0,56963.01000000001,0,0,0.0
0,59464.0,30189.0,0.0,583533.07,642997.07,29275.0,0.0,30189.0,59464.0,0,0,0.0
0,712488.25,712488.25,0.0,0.0,712488.25,0.0,0.0,712488.25,712488.25,0,1,1.0
0,592443.66,592443.66,0.0,69752.66,662196.32,0.0,1.1641532182693479e-10,592443.66,592443.6599999999,0,0,1.0
